stage_name,full_name,date_of_birth,group,country,birthplace,gender,instagram
Jaehwan,Kim Jaehwan,1996-05-27,Wanna One,South Korea,Seoul,M,
Sunyoul,Seon Yein,1996-11-06,UP10TION,South Korea,Wando,M,
Sally,Liu Xiening,1996-10-23,Gugudan,China,Guangdong,F,
JK,Kim Jikang,1998-03-17,Girlkind,South Korea,,F,
Wow,Kim Seyoon,1993-02-28,A.C.E,South Korea,Gyeonggi,M,
Joochan,Hong Joochan,1999-07-31,Golden Child,South Korea,,M,
Dain,Jung Dain,2004-12-15,HOT ISSUE,South Korea,,F,
Dain,Song Jieun,1990-06-25,,South Korea,,F,
Ravn,Kim Yoongjo,1995-09-02,Oneus,South Korea,,M,
Yongseung,Kim Yongseung,2000-06-17,Verivery,South Korea,,M,
Hanse,Do Hanse,1997-09-25,VICTON,South Korea,,M,
Woosu,Kim Minseok,1999-11-23,IZ,South Korea,,M,
Hwarang,Park Jonghan,1995-12-05,Spectrum,South Korea,,M,
Hwarang,Son Jaewon,2001-04-23,TEMPEST,South Korea,,M,
Seyoung,Lee Seyoung,1990-02-08,CROSS GENE,South Korea,Busan,M,
Hoon,Yeo Hoonmin,1991-08-16,U-KISS,South Korea,Namyangju,M,
Jihyo,Lee Jihyo,2001-04-22,PRECIOUS,South Korea,Gyeonggi,F,
Jihyo,Park Jisoo,1997-02-01,Twice,South Korea,Guri,F,
Sea,Kim Sujeong,1999-12-05,Highteen,South Korea,,F,
Geummi,Baek Boram,1988-06-18,Crayon Pop,South Korea,Seoul,F,g.mi
Lucy,Kim Daeun,2004-04-09,woo!ah!,South Korea,,F,
Lucy,Noh Hyojung,2002-08-31,Weki Meki,South Korea,Goyang,F,
Arin,Choi Yewon,1999-06-18,Oh My Girl,South Korea,Busan,F,
Hyerim,Woo Hyerim,1992-09-01,Wonder Girls,South Korea,Seoul,F,wg_lim
Eunyoung,Joo Eunyoung,1992-06-12,Two X,South Korea,,F,
Yoojin,Jang Yoojin,1992-09-14,,South Korea,,F,yoojinbabe
Luda,Lee Luda,1997-03-06,Cosmic Girls,South Korea,Seoul,F,
Kyeongheon,Yoon Kyeongheon,1998-01-06,We In The Zone,South Korea,Suncheon,M,
E-Chan,Lee Changmin,1997-02-19,DKB,South Korea,,M,
Seogoong,Park Hyunho,1992-05-01,,South Korea,Seongnam,M,
Hwasa,Ahn Hyejin,1995-07-23,Mamamoo,South Korea,Jeonju,F,
Khael,Lee Sangmin,2002-01-18,Mirae,South Korea,,M,
A.M,Seong Hyunwoo,1996-12-31,Limitless,South Korea,,M,
Meiqi,Meng Meiqi,1998-10-15,Cosmic Girls,China,Luoyang,F,
Vivi,Wong Viian,1996-12-09,LOONA,Hong Kong,Hong Kong,F,
Yoochun,Park Yoochun,1986-07-04,JYJ,South Korea,Seoul,M,
Bic,Nam Seungmin,2001-04-25,MCND,South Korea,,M,
Hwall,Heo Hyunjoon,2000-03-09,,South Korea,Busan,M,
Yeri,Kim Yerim,1999-03-05,Red Velvet,South Korea,Seoul,F,
Hyosung,Jun Hyoseong,1989-10-13,SECRET,South Korea,Cheongju,F,secrettimehs
Daniel,Kang Daniel,1996-12-10,Wanna One,South Korea,Busan,M,
XEN,Lee Jinwoo,1998-02-20,OMEGA X,South Korea,,M,
Hyunbin,Kim Hyunbin,2004-05-26,TRI.BE,South Korea,,F,
Hyunbin,Kwon Hyunbin,1997-03-04,JBJ,South Korea,Seoul,M,
Hyunbin,Moon Hyunbin,2000-02-26,Ciipher,South Korea,,M,
Roa,Kim Minkyung,1997-07-29,Hinapia,South Korea,,F,
Jacob,Bae Joonyoung,1997-05-30,The Boyz,South Korea,Toronto,M,
Jacob,Zhang Peng,1996-09-07,VAV,China,,M,
Sugyeong,Jo Sugyeong,2000-01-12,Favorite,South Korea,Haenam,F,
Sungyeol,Lee Sungyeol,1991-08-27,Infinite,South Korea,Yongin,M,
J-Hope,Jung Hoseok,1994-02-18,BTS,South Korea,Gwangju,M,
Marco,Lee Hyunggeun,1994-05-11,Hot Blood Youth,South Korea,,M,
Taehyun,Kang Taehyun,2002-02-05,TXT,South Korea,,M,
Taehyun,Nam Taehyun,1994-05-10,,South Korea,Hanam,M,
Taehyun,Noh Taehyun,1993-10-15,HOTSHOT,South Korea,Seoul,M,
Beomgyu,Choi Beomgyu,2001-03-13,TXT,South Korea,,M,
Yoonbin,Ha Yoonbin,2000-12-11,,South Korea,,M,
Hana,Hayase Hana,2000-02-27,ILY:1,Japan,,F,
Hana,Jung Hana,1990-02-02,SECRET,South Korea,Uljeongbu,F,
Hana,Shin Bora,1993-04-30,Gugudan,South Korea,,F,
Xero,Shin Jiho,1994-02-03,Topp Dogg,South Korea,Gwangji,M,
Boni,Choi Euijeong,1999-10-30,Dreamnote,South Korea,,F,
Jian,Kim Jian,2006-11-04,,South Korea,,F,
Jian,Kwon Jieun,2001-03-14,LUNARSOLAR,South Korea,,F,
Haeun,Lim Haeun,2008-11-02,Lapillus,South Korea,,F,
Haeun,Yoon Haeun,1999-03-12,3YE,South Korea,,F,
Onejunn,Jo Wonjun,1988-11-22,Boys Republic,South Korea,Changwon,M,
Soyul,Park Hyekyeong,1991-05-15,Crayon Pop,South Korea,Seoul,F,
Woonggi,Cha Woonggi,2002-04-23,TOO,South Korea,,M,
Young K,Kang Young-hyun,1993-12-19,DAY6,South Korea,,M,
Goeun,Na Goeun,1999-09-03,Purple Kiss,South Korea,,F,
Wonyoung,Jang Wonyoung,2004-08-31,IVE,South Korea,Seoul,F,
Kyuhyun,Cho Kyuhyun,1988-02-03,Super Junior,South Korea,Seoul,M,
Mingyu,Kim Mingyu,1997-04-06,Seventeen,South Korea,Anyang,M,
Viki,Kang Eunhye,1988-03-28,,South Korea,Seoul,F,
Shindong,Shin Donghee,1985-09-28,Super Junior,South Korea,Mungyeong,M,
Sunhwa,Han Sunhwa,1990-10-06,,South Korea,Busan,F,shh_daily
Jaejin,Lee Jaejin,1991-12-17,FTISLAND,South Korea,Cheongju,M,
Yua,Mikami Yua,1993-08-16,Honey Popcorn,Japan,,F,
Taeyong,Lee Taeyong,1995-07-01,NCT,South Korea,,M,
Gijung,Kim Gijung,2001-01-24,IM,South Korea,,M,
Sunny,Lee Sunkyu,1989-05-15,SNSD,South Korea,California,F,svnnynight
Dongwoo,Jang Dongwoo,1990-11-22,Infinite,South Korea,Guri,M,
Haeryeong,Na Haeryeong,1994-11-11,BESTie,South Korea,,F,bestie_hr
Hanna,Shin Jiyeon,1994-02-19,MIXX,South Korea,,F,
Junghwa,Park Junghwa,1995-05-08,EXID,South Korea,Anyang,F,jeonghwa_0508
PSY,Park Jaesang,1977-12-31,,South Korea,Seoul,M,
Zero,Nasukawa Shota,2003-01-20,T1419,Japan,,M,
Taro,Choi Wonjin,1994-11-09,Hot Blood Youth,South Korea,,M,
Minjae,Jo Minjae,1994-08-08,Spectrum,South Korea,,M,
Minjae,Seong Minjae,1994-12-18,Sonamoo,South Korea,Busan,F,
Minjae,Shin Minjae,1991-08-13,Tahiti,South Korea,Busan,F,
Minjae,Song Minjae,2003-08-23,MCND,South Korea,,M,
Rena,Kang Yebin,1998-10-19,Hinapia,South Korea,,F,
Dojin,Jeon Yongtae,1997-03-07,ENOi,South Korea,,M,
Kihyun,Yoo Kihyun,1993-11-22,MONSTA X,South Korea,Goyang,M,
Taesung,Lee Taesung,2003-12-19,,South Korea,,M,
Hweseung,Yoo Hweseung,1995-02-28,N.Flying,South Korea,,M,
Yeonhee,Kim Yeonhee,2000-12-06,Rocket Punch,South Korea,,F,
Minyoung,Kim Minyeong,1990-09-12,Brave Girls,South Korea,Seongnam,F,
Hui,Lee Hwitaek,1993-08-28,PENTAGON,South Korea,,M,
Hui,Liang Hui,1995-07-18,24K,China,,M,
Lee Hoo,Moon Junyoung,1989-02-09,ZE:A,South Korea,Seoul,M,
Denise,Kim Denise,2001-01-11,SECRET NUMBER,South Korea,,F,
Heeseok,Yun Heeseok,1997-06-10,Limitless,South Korea,,M,
Yoonjo,Shin Yoonjo,1992-12-14,UNI.T,South Korea,Seoul,F,
Yujin,Ahn Yujin,2003-09-01,IVE,South Korea,Cheongju,F,
Yujin,Choi Yujin,1996-08-12,Kep1er,South Korea,Jeonju,F,
Yujin,Jeong Yujin,1989-10-23,S#aFLA,South Korea,,F,
Yujin,Seo Yoojin,1994-06-18,Playback,South Korea,,F,
Seoyoon,Kim Suyoung,1995-01-26,BOTOPASS,South Korea,,F,
Jimin,Park Jimin,1995-10-13,BTS,South Korea,Busan,M,
Jimin,Shin Jimin,1991-01-08,,South Korea,Seoul,F,jiminbaby_18
Jimin,Won Jimin,2007-11-25,CLASS:y,South Korea,,F,
Soyee,Jang Sojin,1996-11-21,Gugudan,South Korea,,F,
Sungkyu,Kim Sungkyu,1989-04-28,Infinite,South Korea,Jeonju,M,
Hyungseok,Song Hyungseok,2002-11-06,YOUNITE,South Korea,,M,
Jenissi,Kim Taeyang,1991-08-02,,South Korea,Seoul,M,
New,Choi Chanhee,1998-04-26,The Boyz,South Korea,Jeonju,M,
Gyuri,Jang Gyuri,1997-12-27,,South Korea,Seoul,F,
Gyuri,Park Gyuri,1988-05-21,KARA,South Korea,Seoul,F,
Seungmin,Bae Seungmin,1998-10-13,Golden Child,South Korea,,M,
Seungmin,Kim Seungmin,2000-09-22,Stray Kids,South Korea,Seoul,M,
Seungmin,Lee Seungmin,1996-02-03,Hashtag,South Korea,,F,
Leeseo,Lee Hyunseo,2007-02-21,IVE,South Korea,,F,
Mashiho,Takata Mashiho,2001-03-25,Treasure,Japan,,M,
Soul,Haku Shota,2005-02-01,P1Harmony,Japan,,M,
Daehyeon,Jang Daehyeon,1997-02-11,WEi,South Korea,,M,daehyeon0211
Bitsaeon,Kim Sangyeon,1995-06-04,MONT,South Korea,,M,
Choi Jiann,Choi Jaewoo,1997-09-30,Newkidd,South Korea,,M,
Dohyon,Nam Dohyon,2004-11-10,BAE173,South Korea,,M,
Lee Hyeop,Lee Hyeop,1999-08-13,DRIPPIN,South Korea,,M,
Dany,Jeon Eunji,1998-01-20,Ho1iday,South Korea,,F,
Doojoon,Yoon Doojoon,1989-07-04,Highlight,South Korea,Goyang,M,
Jiyul,Yang Jungyoon,1991-07-30,,South Korea,Seoul,F,
Ireh,Cho Seoyoung,2002-04-30,Purple Kiss,South Korea,,F,
Ahra,Go Ahra,2001-02-21,Favorite,South Korea,Yeosu,F,
Chihoon,Choi Chihoon,1999-04-27,TOO,South Korea,,M,
Soyeon,Jeon Soyeon,1998-08-26,(G)I-DLE,South Korea,,F,
Soyeon,Jung Soyeon,1994-05-04,LABOUM,South Korea,Gwangju,F,
Soyeon,Park Soyeon,1987-10-05,,South Korea,Andong,F,melodysoyani
E:U,Park Jiwon,1998-05-19,Everglow,South Korea,,F,
Yonghee,Kim Yonghee,2000-02-17,CIX,South Korea,,M,
Gain,Son Gain,1987-09-20,Brown Eyed Girls,South Korea,,F,songain87
Seungwoo,Han Seungwoo,1994-12-24,VICTON,South Korea,,M,
Jonghyun,Lee Jonghyun,1990-05-15,CNBLUE,South Korea,Busan,M,
Heejin,Jeon Heejin,2000-10-19,LOONA,South Korea,Seongnam,F,
Heejin,Song Heejin,1995-08-19,Good Day,South Korea,Seoul,F,
Jinhoo,Kim Jinwook,1995-08-02,UP10TION,South Korea,Changwon,M,
Royeon,Jeon Hyunjoo,1998-02-20,ANS,South Korea,,F,
HyunA,Kim Hyuna,1992-06-06,4minute,South Korea,Jeolla,F,hyunah_aa
Keita,Terazono Keita,2001-07-04,Ciipher,Japan,,M,
Mina,Kang Mina,1999-12-04,Gugudan,South Korea,Icheon,F,
Mina,Kwon Mina,1993-09-21,,South Korea,Busan,F,kvwowv
Mina,Myoui Mina,1997-03-24,Twice,Japan,San Antonio,F,
Changgyu,Song Changgyu,1993-07-06,UNVS,South Korea,,M,
Yeonha,Ahn Yeonji,2000-05-19,P.O.P,South Korea,Yeondong,F,
Habin,Yoo Habin,2002-03-10,,South Korea,,F,
NC.A,Im Soeun,1996-10-07,UNI.T,South Korea,Osan,F,
Moonhee,Choi Moonhee,1997-04-15,Bonus Baby,South Korea,,F,
Changsub,Lee Changsub,1991-02-26,BtoB,South Korea,Suwon,M,
Hyangsuk,Lee Hyangsuk,1991-04-24,2EYES,South Korea,Seoul,F,baby_sook
Joy,Park Sooyoung,1996-09-03,Red Velvet,South Korea,Jeju,F,
Zoa,Cho Hyewon,2005-05-31,Weeekly,South Korea,,F,
Dia,Choi Eunji,2001-07-16,Pixy,South Korea,,F,
Dia,Kwak Minnyeong,1999-09-03,Maka Maka,South Korea,,F,
Saerom,Lee Saerom,1997-01-07,fromis_9,South Korea,Gangwon,F,
Eunki,Hong Eunki,1997-09-29,,South Korea,,M,eun_doitz
Hanwoom,Byun Hanwoom,2001-06-05,PRECIOUS,South Korea,Seoul,F,
Monday,Kim Jimin,2002-05-10,Weeekly,South Korea,,F,
Won Hyuk,Won Hyuk,2002-02-22,E'LAST,South Korea,,M,
Seline,Jung Yeonjeong,2000-06-20,Cignature,South Korea,,F,
JunQ,Kang Junkyu,1993-08-09,MYNAME,South Korea,Uljeongbu,M,
Heejun,Oh Heejun,1996-05-08,KNK,South Korea,,M,
Suwoong,Lee Suwoong,1995-01-20,Boys Republic,South Korea,,M,
Yoon,Heo Yoon,1994-09-23,4TEN,South Korea,,F,
Yoon,Ji Hayoon,1997-07-08,Gate9,South Korea,Busan,F,queenyunista
Yoon,Kang Seungyoon,1994-01-21,WINNER,South Korea,Busan,M,
Yoon,Shim Jayoon,2004-04-14,STAYC,South Korea,Gwangju,F,
Baron,Choi Chunghyeop,1992-04-19,VAV,South Korea,,M,
Chunji,Lee Chanhee,1993-10-05,Teen Top,South Korea,Seongnam,M,
Jake,Shim Jaeyoon,2002-11-15,ENHYPEN,South Korea,,M,
Yeonje,Yang Yeonje,1999-10-15,ALICE,South Korea,,F,
Nayeon,Im Nayeon,1995-09-22,Twice,South Korea,Seoul,F,
Jisun,Hwang Jisun,1989-10-17,S#aFLA,South Korea,,F,
Jisun,Roh Jisun,1998-11-23,fromis_9,South Korea,Seoul,F,
Youngheun,Go Youngheun,1994-11-20,Blackswan,South Korea,,F,
Cha Hoon,Cha Hoon,1994-07-12,N.Flying,South Korea,Seoul,M,
Dakyung,Jung Dakyung,2001-07-23,Hi-L,South Korea,,F,
Haruto,Watanabe Haruto,2004-04-05,Treasure,Japan,,M,
Nine,Jung Wookjin,1999-12-13,OnlyOneOf,South Korea,,M,
Kyungjun,Woo Kyungjun,2002-08-30,TNX,South Korea,,M,
Lin Lin,Huang Ziting,2003-07-05,,Taiwan,,F,
Yue,Nancy Yang,2004-07-03,Lapillus,USA,,F,
Taera,Lee Yujin,1994-04-12,Gate9,South Korea,Incheon,F,taera9nine
Hyejoo,Park Hyunjoo,1999-01-12,Highteen,South Korea,,F,
GK,Kim Kwanghyun,1998-09-29,DKB,South Korea,,M,
Longguo,Jin Longguo,1996-03-02,JBJ,China,Heilong,M,
Woo-ah,Kim Chaewon,1997-06-20,CRAXY,South Korea,,F,
Kim Yoon,Kim Seongsu,1994-02-17,DUSTIN,South Korea,,M,
Jisan,Choi Jinsang,1999-11-03,Hot Blood Youth,South Korea,,M,
Yeah,Kim Haeun,1999-10-09,,South Korea,Gongju,F,
Seungsik,Kang Seungsik,1995-04-16,VICTON,South Korea,,M,
Hani,Ahn Hee-yeon,1992-05-01,EXID,South Korea,Seoul,F,ahnhani_92
Youngmin,Jo Youngmin,1995-04-24,Boyfriend,South Korea,Anyang,M,
Youngmin,Lim Youngmin,1995-12-25,,South Korea,Busan,M,
Kyle,Ma Jaekyung,1997-01-15,Romeo,South Korea,,M,
Mashiro,Sakamoto Mashiro,1999-12-16,Kep1er,Japan,,F,
Minpyo,Gook Minpyo,1994-11-15,B.I.G,South Korea,Gwangju,M,
Mark,Mark Lee,1999-08-02,NCT,Canada,Vancouver,M,
Mark,Mark Yien Tuan,1993-09-04,GOT7,USA,Los Angeles,M,
Anthony,Anthony Lo,1998-03-12,VARSITY,China,,M,
Wendy,Son Seunghwan,1994-02-21,Red Velvet,South Korea,Seoul,F,
Minha,Park Minha,1991-06-27,,South Korea,Seoul,F,blossomh_
Sejeong,Kim Sejeong,1996-08-28,Gugudan,South Korea,,F,
IU,Lee Jieun,1993-05-16,,South Korea,Seoul,F,dlwlrma
Youngho,Noh Youngho,1993-03-24,SIGNAL,South Korea,,M,
Hanbyeol,Ahn Hanbyeol,2003-10-13,,South Korea,,F,
Jinyoung,Bae Jinyoung,2000-05-10,CIX,South Korea,Seoul,M,
Jinyoung,Jung Jinyoung,1991-11-18,,South Korea,Chungju,M,
Jinyoung,Park Jinyoung,1994-09-22,GOT7,South Korea,Changwon,M,
Jinyoung,Woo Jinyoung,1997-05-31,D1CE,South Korea,,M,
JinE,Shin Hyejin,1995-01-22,,South Korea,Pohang,F,
Jinni,Choi Yujin,2004-04-16,NMIXX,South Korea,,F,
Judy,Kim Dahye,1995-05-16,Blackswan,South Korea,,F,
Sowon,Kim Sojung,1995-12-07,Gfriend,South Korea,Seoul,F,
Sowon,Nam Soeun,2004-12-13,TRACER,South Korea,,F,
Gongchan,Gong Chansik,1993-08-14,B1A4,South Korea,Suncheon,M,
Yeju,Kim Yeju,2004-02-01,ICHILLIN',South Korea,,F,
San,Choi San,1999-07-10,ATEEZ,South Korea,,M,
Lizzy,Park Sooyoung,1992-07-31,After School,South Korea,Busan,F,luvlyzzy
Dongwan,Kim Dongwan,1979-11-21,Shinhwa,South Korea,Pohang,M,
Ten,Chittaphon Leechaiyapornkul,1996-02-27,NCT,Thailand,Bangkok,M,
Shuhua,Yeh Shuhua,2000-01-06,(G)I-DLE,Taiwan,,F,
Ni-Ki,Nishimura Riki,2005-12-09,ENHYPEN,Japan,,M,
Mint,Kunpat Phonpawiworakun,1994-06-23,Tiny-G,Thailand,,F,
Cheng Xiao,Cheng Xiao,1998-07-15,Cosmic Girls,China,Shenzhen,F,chengxiao_0715
E-Young,Noh Yiyoung,1992-08-16,After School,South Korea,Chuncheon,F,e_young0816
Seeun,Yoon Seeun,2003-06-14,STAYC,South Korea,Pyeongtaek,F,
Doha,Na Gyumin,2004-03-07,BAE173,South Korea,,M,
Han Geng,Han Geng,1984-02-09,,China,Mudanjiang,M,
Sehyung,Kang Sehyung,1998-12-13,Berry Good,South Korea,,F,
Eunwoo,Cha Eunwoo,1997-03-30,ASTRO,South Korea,Gunpo,M,
Eunwoo,Jeong Eunwoo,1998-07-01,Hinapia,South Korea,,F,
Seonglee,Kim Seonglee,1994-04-06,,South Korea,,M,seong_leeee
Wonjin,Ham Wonjin,2001-03-22,CRAVITY,South Korea,,M,
Wonjin,Won Jin,2003-01-01,GIDONGDAE,South Korea,,M,
Taekhyeon,Jung Taekhyeon,2003-07-28,1the9,South Korea,Gunpo,M,
Yoonsan,Yoon Sanghyuk,1994-08-22,HOTSHOT,South Korea,,M,
Hyein,Lee Hyein,2008-04-21,NewJeans,South Korea,Incheon,F,
Eunha,Jung Eunbi,1997-05-30,VIVIZ,South Korea,Seoul,F,
Jiyoung,Ahn Jiyoung,1995-09-14,Bolbbalgan4,South Korea,Yeongju,F,
Jiyoung,Kang Jiyoung,1994-01-18,,South Korea,Paju,F,
Yoonhye,Jung Yoonhye,2001-10-04,FANATICS,South Korea,,F,
Luha,Lee Gyeonghun,1993-02-15,14U,South Korea,,M,
Yuha,Kang Kyungwon,1997-11-05,Hinapia,South Korea,,F,
Yuku,Amanumu Yuku,2002-05-12,DKB,Japan,,M,
Keonwoo,Kim Keonwoo,1996-12-17,MY.st,South Korea,,M,
Ricky,Yoo Changhyun,1995-02-27,Teen Top,South Korea,Seoul,M,
Ahyung,Kang Ahyoung,1996-08-27,P.O.P,South Korea,Pohang,F,
Danielle,Mo Jihye,2005-04-11,NewJeans,South Korea,Munsan,F,
Chen,Kim Jongdae,1992-09-21,EXO,South Korea,Silheung,M,
Rui,Jang Rui,2000-03-07,7 O'clock,South Korea,Seoul,M,
Rui,Watanabe Rui,1994-10-08,H.U.B,Japan,,F,
Wyatt,Shim Jaeyoung,1995-01-23,ONF,South Korea,Seoul,M,
Ace,Jang Wooyoung,1992-08-28,VAV,South Korea,,M,
Jueun,Jo Jueun,2001-01-27,ARIAZ,South Korea,,F,
Jueun,Lee Jooeun,1995-07-07,DIA,South Korea,Suwon,F,
Dalyn,Lee Sohyun,1999-08-27,ANS,South Korea,,F,
Yedam,Bang Yedam,2002-05-07,Treasure,South Korea,,M,
Rayeon,Lee Rayeon,2001-11-24,FANATICS,South Korea,Gwangju,F,
Minnie,Nicha Yontararak,1997-10-23,(G)I-DLE,Thailand,,F,
Hyeongshin,Kim Hyungshin,2002-05-03,HOT ISSUE,South Korea,,F,
Z-UK,Jeong Jaewook,1993-01-27,,South Korea,,M,
Yeonjung,Yu Yeonjung,1999-08-03,Cosmic Girls,South Korea,Gwangmyeong,F,uyj_s
Damon,Hu Boohan,1996-07-02,VARSITY,China,,M,
Karina,Yoo Jimin,2000-04-11,aespa,South Korea,Gyeonggi,F,
Rocky,Park Minhyuk,1999-02-25,ASTRO,South Korea,Jinju,M,
Junghoon,Han Jeonghoon,2000-02-14,OMEGA X,South Korea,,M,
Junghoon,Lee Junghoon,2000-07-04,1TEAM,South Korea,,M,
Hoony,Lee Seunghoon,1992-01-11,WINNER,South Korea,Busan,M,
Gahyeon,Lee Gahyeon,1999-02-03,Dreamcatcher,South Korea,Seongnam,F,
S.Coups,Choi Seungcheol,1995-08-08,Seventeen,South Korea,Daegu,M,
Jaehee,Lee Jaehee,2004-03-18,Weeekly,South Korea,,F,
Jisook,Kim Jisook,1990-07-18,Rainbow,South Korea,Suwon,F,
Changsun,Lee Changsun,1996-03-17,24K,South Korea,,M,
Sungjae,Yook Sungjae,1995-05-02,BtoB,South Korea,Yongin,M,
Sua,Choi Sooah,2003-02-24,Pixy,South Korea,,F,
Sua,Kim Bora,1994-08-10,Dreamcatcher,South Korea,Changwon,F,
Sua,Yang Sua,1995-03-24,Hashtag,South Korea,Gwangju,F,
Seowon,Jang Seowon,2006-12-05,Lapillus,South Korea,Gwangju,F,
Seowon,Seo Won,2000-12-18,NINE.i,South Korea,,M,
Rosé,Roseanne Park,1997-02-11,BLACKPINK,South Korea,Auckland,F,
Genie,Cho Heejin,2002-03-19,TRACER,South Korea,,F,
T.O.P,Choi Seunghyun,1987-11-04,BIGBANG,South Korea,Seoul,M,
Steven,Kim Steven,2000-01-17,Luminous,South Korea,Sydney,M,
Minah,Bang Minah,1993-05-13,Girl's Day,South Korea,Incheon,F,bbang_93
Yoomin,Na Yoomin,1993-08-29,MELODYDAY,South Korea,,F,im.umin
Jinsol,Lee Jinsol,2001-12-04,APRIL,South Korea,Andong,F,
Soojung,Hwang Soojung,2001-05-10,Hi-L,South Korea,Yongin,F,
Gyujin,Han Gyujin,1997-11-21,UP10TION,South Korea,Icheon,M,
Jaeun,Ha Jaeun,1999-09-28,ARGON,South Korea,,M,
Via,Kim Via,2000-08-17,FANATICS,South Korea,Busan,F,
Heeo,Gwak Heeoh,1994-05-02,4TEN,South Korea,,F,
J.Min,Shin Minjung,1994-11-20,Tiny-G,South Korea,,F,
HighTop,Lim Hyeontae,1994-03-19,Bigflo,South Korea,,M,
J-Min,Jeon Minwook,1999-10-16,BAE173,South Korea,,M,
Dohyuk,Kim Dohyuk,1998-01-16,14U,South Korea,,M,
Ririka,Kishida Ririka,2002-07-02,ILY:1,Japan,,F,
Dylan,Park Yeonjae,2002-07-26,D-CRUNCH,South Korea,,M,
Leedo,Kim Geonhak,1997-07-26,Oneus,South Korea,,M,
Isa,Lee Chaeyoung,2002-01-23,STAYC,South Korea,Busan,F,
Hanni,Pham Ngoc Han,2004-10-06,NewJeans,Vietnam,Melbourne,F,
Minsu,Kim Minsu,2000-03-20,TOO,South Korea,,M,
Minsu,Park Minsu,1993-04-15,Boys Republic,South Korea,Gwangju,M,
Hangyul,Lee Hangyul,1999-12-07,BAE173,South Korea,,M,
Aron,Kwak Youngmin,1993-05-21,NU'EST,South Korea,California,M,
Yeeun,Hwang Yeeun,1997-01-12,Blady,South Korea,Gimhae,F,yeeuneeeee_
Hyun,Park Sunghyun,1997-08-25,7 O'clock,South Korea,Suwon,M,
Kangin,Kim Youngwoon,1985-01-17,,South Korea,Seoul,M,
Daeun,Jung Daeun,1994-06-03,2EYES,South Korea,Bucheon,F,da.ni_jung
Yoojung,Choi Yoojung,1999-11-12,Weki Meki,South Korea,Guri,F,
Yoojung,Lee Taeyeop,1997-05-19,OnlyOneOf,South Korea,,M,
Eyedi,Nam Yujin,1995-12-08,,South Korea,,F,
Ningning,Ning Yizhuo,2002-10-23,aespa,China,Harbin,F,
Chiayi,Li Chiayi,2000-01-22,FANATICS,Taiwan,,F,
Cheongeum,Jang Cheongeum,1996-06-19,Ho1iday,South Korea,,F,
Eunseo,Son Juyeon,1998-05-27,Cosmic Girls,South Korea,Incheon,F,_eunseo_v
Dahye,Song Dahye,1993-06-12,,South Korea,,F,dahye0612
Seungri,Lee Seunghyun,1990-12-12,,South Korea,Gwangju,M,
Cory,Hong Joohyung,1990-11-25,24K,South Korea,Daegu,M,
Somyi,Ahn Somyi,2000-01-26,DIA,South Korea,Changwon,F,
Suyun,Kim Suyun,2001-03-17,Rocket Punch,South Korea,,F,
Sodam,Park Sodam,2004-11-26,BLANK2Y,South Korea,,M,
Jeonyul,Jeon Yuri,1994-03-20,Stellar,South Korea,Seoul,F,
Qri,Lee Jihyun,1986-12-12,T-ara,South Korea,Goyang,F,qtfreet
Nichkhun,Nichkhun Horvejkul,1988-06-24,2PM,Thailand,California,M,
U-Kwon,Kim Yukwon,1992-04-09,Block B,South Korea,Suwon,M,
Sungoh,Yoo Sungoh,1991-01-08,,South Korea,,M,
Gunwoo,Kim Gunwoo,2002-05-28,T1419,South Korea,,M,
Gunwoo,Lee Gunwoo,1989-01-30,MYNAME,South Korea,Daejeon,M,
Chaea,Kim Chaeyoung,1997-07-05,RedSquare,South Korea,Gunsan,F,
Gun,Kwak Gun,2001-09-29,14U,South Korea,,M,
Hyuna,Moon Hyuna,1987-01-19,,South Korea,Yeosu,F,moongom119
Siyoung,Park Siyoung,2003-05-06,Mirae,South Korea,,M,
Taeyoung,Kim Taeyoung,2003-01-27,CRAVITY,South Korea,,M,
Haeyeon,Lee Taeyeon,1994-01-11,Gate9,South Korea,,F,ha2y2on_gnine
Hwichan,Lee Heechan,1996-04-18,Limitless,South Korea,,M,
Roda,Shin Joongmin,1998-09-19,MONT,South Korea,,M,
Gihwan,Kim Gihwan,1993-11-24,SIGNAL,South Korea,,M,
Woohyun,Nam Woohyun,1991-02-08,Infinite,South Korea,Seoul,M,
CL,Lee Chaerin,1991-02-26,2NE1,South Korea,,F,chaelincl
Sujeong,Ryu Sujeong,1997-11-19,Lovelyz,South Korea,Daejeon,F,
Dongwon,Lee Dongwon,1994-01-01,KNK,South Korea,,M,
DK,Kim Dokyun,1998-02-16,BLANK2Y,South Korea,,M,
DK,Kim Donghyuk,1997-01-03,iKON,South Korea,,M,
DK,Lee Seongmin,1997-02-18,Seventeen,South Korea,Yongin,M,
Seoyeon,Kim Minju,1995-11-26,Favorite,South Korea,Gwacheon,F,
Seoyeon,Lee Seoyeon,2000-01-22,fromis_9,South Korea,Seoul,F,
Seoyeon,Yoon Seoyeon,2003-08-06,tripleS,South Korea,,F,
Minchan,Hong Minchan,1998-09-16,Verivery,South Korea,,M,
Yunsung,Hwang Yunsung,1996-03-19,Romeo,South Korea,,M,
Kino,Kang Hyungku,1998-01-27,PENTAGON,South Korea,,M,
Wooseok,Jeong Wooseok,1998-01-31,PENTAGON,South Korea,,M,
